antecedents,consequents,support,confidence,lift
CEBU,Magnitude_Micro,0.034677470520524604,0.9070649596965386,1.1195089610967044
Magnitude_Minor,"Time_Morning, Depth_Surface",0.012181526497539223,0.07780028943560059,1.1166623824273774
"Time_Morning, Depth_Surface",Magnitude_Minor,0.012181526497539223,0.17484064004162875,1.1166623824273774
"BATANGAS, Depth_Surface",Magnitude_Micro,0.01636892623106833,0.9043565348022032,1.1161661950607633
Magnitude_Micro,"BATANGAS, Depth_Surface",0.01636892623106833,0.020202698167662257,1.1161661950607633
"Time_Night, SURIGAO DEL NORTE","Depth_Crust, Magnitude_Micro",0.010513817512757068,0.4289940828402367,1.1138884061434189
"Depth_Crust, Magnitude_Micro","Time_Night, SURIGAO DEL NORTE",0.010513817512757068,0.02729925633060341,1.1138884061434189
SURIGAO DEL SUR,"Time_Morning, Depth_Surface",0.011166399289410954,0.07735292270986376,1.110241357551968
"Time_Morning, Depth_Surface",SURIGAO DEL SUR,0.011166399289410954,0.16027058670482633,1.110241357551968
ABRA,Magnitude_Micro,0.023184780342786704,0.898805340829234,1.1093148540061997
Magnitude_Micro,ABRA,0.023184780342786704,0.028614895854307893,1.1093148540061997
"Depth_Crust, Magnitude_Micro, Time_Afternoon",SURIGAO DEL SUR,0.010577262963265084,0.1600383982446517,1.1086329199931353
SURIGAO DEL SUR,"Depth_Crust, Magnitude_Micro, Time_Afternoon",0.010577262963265084,0.07327180259935959,1.1086329199931353
"Time_Night, OCCIDENTAL MINDORO",Magnitude_Micro,0.014945935412531383,0.8966829798803698,1.1066954141573382
Magnitude_Micro,"Time_Night, OCCIDENTAL MINDORO",0.014945935412531383,0.018446428171913103,1.106695414157338
Magnitude_Micro,"ABRA, Depth_Surface",0.011202653832558392,0.01382643130411437,1.106224794934186
"ABRA, Depth_Surface",Magnitude_Micro,0.011202653832558392,0.8963016678752719,1.106224794934186
"CEBU, Time_Night",Magnitude_Micro,0.011438308363016741,0.8956706884315118,1.1054460335742569
Magnitude_Micro,"CEBU, Time_Night",0.011438308363016741,0.014117278564556905,1.1054460335742569
"Magnitude_Micro, Time_Night",LOC_OTHER,0.08127362210076951,0.27945897092280364,1.1031085728912686
LOC_OTHER,"Magnitude_Micro, Time_Night",0.08127362210076951,0.32081141998497376,1.1031085728912686
"Depth_Crust, Magnitude_Micro",SURIGAO DEL NORTE,0.0312514161930917,0.08114468605855221,1.1029659181379974
SURIGAO DEL NORTE,"Depth_Crust, Magnitude_Micro",0.0312514161930917,0.424787483060244,1.1029659181379974
SURIGAO DEL SUR,"Depth_Crust, Time_Afternoon",0.013151335526733194,0.0911031581591009,1.101655254586997
"Depth_Crust, Time_Afternoon",SURIGAO DEL SUR,0.013151335526733194,0.1590311266988163,1.101655254586997
LOC_OTHER,"Magnitude_Micro, Time_Night, Depth_Surface",0.030326925342832024,0.11970949161031806,1.0999057227563294
"Magnitude_Micro, Time_Night, Depth_Surface",LOC_OTHER,0.030326925342832024,0.2786475682878081,1.0999057227563291
SURIGAO DEL NORTE,"Magnitude_Micro, Time_Morning",0.011882426516572859,0.16151287421461133,1.0998566180084115
"Magnitude_Micro, Time_Morning",SURIGAO DEL NORTE,0.011882426516572859,0.08091593630415998,1.0998566180084115
Time_Morning,"Depth_Crust, Magnitude_Minor",0.014692153610499315,0.07916198661913366,1.0991720545778552
"Depth_Crust, Magnitude_Minor",Time_Morning,0.014692153610499315,0.20400201359174427,1.099172054577855
Magnitude_Minor,"Time_Afternoon, Depth_Surface",0.01125703564727955,0.07189580318379162,1.0989658992894034
"Time_Afternoon, Depth_Surface",Magnitude_Minor,0.01125703564727955,0.17206982543640897,1.0989658992894031
"Depth_Crust, Magnitude_Micro, Time_Morning",SURIGAO DEL SUR,0.011021381116821202,0.15853976531942635,1.0982514502076743
SURIGAO DEL SUR,"Depth_Crust, Magnitude_Micro, Time_Morning",0.011021381116821202,0.07634833929804735,1.0982514502076743
SURIGAO DEL SUR,"Magnitude_Micro, Time_Afternoon",0.02187055315369207,0.1515037357945627,1.0965336311958735
"Magnitude_Micro, Time_Afternoon",SURIGAO DEL SUR,0.02187055315369207,0.15829178693256363,1.0965336311958735
Magnitude_Minor,Time_Morning,0.03180429797609013,0.2031259044862518,1.0944515391840919
Time_Morning,Magnitude_Minor,0.03180429797609013,0.17136299262587293,1.0944515391840919
ZAMBALES,Magnitude_Micro,0.017873489771687016,0.8866906474820145,1.0943627740937663
Magnitude_Micro,ZAMBALES,0.017873489771687016,0.022059646061256908,1.0943627740937663
OCCIDENTAL MINDORO,"Magnitude_Micro, Time_Night",0.014945935412531383,0.3174817096649981,1.0916593794698446
"Magnitude_Micro, Time_Night",OCCIDENTAL MINDORO,0.014945935412531383,0.05139152927977062,1.0916593794698446
Time_Morning,"Depth_Surface, SURIGAO DEL SUR",0.011166399289410954,0.060165063241685794,1.090890976584788
"Depth_Surface, SURIGAO DEL SUR",Time_Morning,0.011166399289410954,0.20246507806080527,1.090890976584788
"Magnitude_Micro, Time_Evening","Depth_Crust, LOC_OTHER",0.030508198058569216,0.13015737983836664,1.089146293132107
"Depth_Crust, LOC_OTHER","Magnitude_Micro, Time_Evening",0.030508198058569216,0.2552901023890785,1.089146293132107
"LOC_OTHER, Magnitude_Micro, Depth_Surface",Time_Night,0.030326925342832024,0.38349570200573063,1.0884537930695926
Time_Night,"LOC_OTHER, Magnitude_Micro, Depth_Surface",0.030326925342832024,0.08607516785429477,1.0884537930695926
Time_Morning,"Magnitude_Minor, Depth_Surface",0.012181526497539223,0.06563461444547541,1.0882976625163432
"Magnitude_Minor, Depth_Surface",Time_Morning,0.012181526497539223,0.20198376916140667,1.0882976625163432
"Magnitude_Micro, Time_Afternoon","Depth_Crust, SURIGAO DEL SUR",0.010577262963265084,0.07655471004985569,1.0870473249048427
"Depth_Crust, SURIGAO DEL SUR","Magnitude_Micro, Time_Afternoon",0.010577262963265084,0.15019305019305018,1.0870473249048425
SURIGAO DEL SUR,"Depth_Crust, Time_Morning",0.013713280945518486,0.09499591887988951,1.0867891669366538
"Depth_Crust, Time_Morning",SURIGAO DEL SUR,0.013713280945518486,0.15688510991289922,1.0867891669366538
Magnitude_Micro,SOUTHERN LEYTE,0.012498753750079307,0.015426091236548315,1.0854439236094466
SOUTHERN LEYTE,Magnitude_Micro,0.012498753750079307,0.8794642857142858,1.0854439236094466
"Depth_Crust, LOC_OTHER","Magnitude_Micro, Time_Night",0.03763221578704081,0.31490329920364046,1.0827935271118165
"Magnitude_Micro, Time_Night","Depth_Crust, LOC_OTHER",0.03763221578704081,0.1293981986474273,1.0827935271118165
Magnitude_Micro,"Time_Evening, OCCIDENTAL MINDORO",0.011728344708196246,0.014475244423563103,1.082758096607553
"Time_Evening, OCCIDENTAL MINDORO",Magnitude_Micro,0.011728344708196246,0.8772881355932204,1.082758096607553
Time_Night,"Depth_Interface, Magnitude_Micro, LOC_OTHER",0.010187526624430124,0.028914670851233507,1.0825193585637747
